Title,Center,Date,Sponsor,Advisors,Abstract,URL,PDF
Feasibility assessment of the implementation of a ground source heat pump in the Merton Community.,"Windhoek, Namibia",January 2003,London Borough of Merton,"['Plummer, Jeanine D.', 'Vernescu, Bogdan M.']","This project explored the technical feasibility of implementing ground source heat pump systems to supply heat and hot water in the London area, as well as the viability of implementation in the Merton Council housing stock and community. We determined that the Merton Council should not implement the system, due to technical and financial limitations. However, the Council should use the promotional material we produced to educate housing associations and private consumers, encouraging them to consider using the heat pump system.",http://digitalcommons.wpi.edu/iqp-all/4615,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5614&context=iqp-all
Wildfires in the American southwest.,"Windhoek, Namibia",January 2004,London Borough of Merton,"['Crusberg, Theodore C.']",This project report discusses the various aspects influencing the wildfires within the Colorado district.  It also contains an establishment of the criteria that are monitored in regards to fire management.  All aspects considered are contained within the data acquired for the Colorado state region.,http://digitalcommons.wpi.edu/iqp-all/4730,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5729&context=iqp-all
Sustainable Transportation Mapping for The Kingston Council,"London, England",June 2010,The Royal Borough of Kingston,"['Kazantzis, Nikolaos K.', 'Krueger, Robert']","The Climate Change and Sustainable Travel Group at The Kingston Council aims to increase the integration of various modes of transportation and promote sustainable travel options. Consequently, the goal of this project is to design and create a localized multimodal transportation map for The Kingston Council that provides users with safe sustainable travel options for short trips within The Borough as well as design a website template. This report represents the initial development phase of a journey planner.",http://digitalcommons.wpi.edu/iqp-all/1257,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2256&context=iqp-all
Scope 3 Greenhouse Gas Emission,"London, England",January 2018,The Royal Borough of Kingston,"['Orr, John A.']","This study determined an initial estimate of the Scope 3 greenhouse gas emissions caused by the travel of WPI faculty, staff, and students. The collection of data on transportation-related Scope 3 carbon emissions of Worcester Polytechnic Institute’s students, faculty, and staff, in order to calculate WPI’s carbon footprint, is important to making the university sustainable. We estimated and recorded WPI’s Scope 3 emissions for the first time in WPI’s sustainability projects.Using the results of this paper which is 26,500 tonnes of CO2 and comparing it with other emission sources, WPI will be able to set reduction goals on its greenhouse gas emissions and become a more sustainable institution.",http://digitalcommons.wpi.edu/iqp-all/3084,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4083&context=iqp-all
Global warming and ozone depletion -- their global implications.,"London, England",January 2002,The Royal Borough of Kingston,"['Humi, Mayer']","This project explores the Global Warming and Ozone Depletion problem.  After an explanation of both issues, quantitative data is given and analyzed to explain the cause of these problems.  From this analysis conclusions were drawn about possible affects that both Global Warming and Ozone Depletion could have on society.  The major actions taken by countries to curb both problems are also analyzed and some policy recommendations are made to minimize these effects.",http://digitalcommons.wpi.edu/iqp-all/4619,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5618&context=iqp-all
Impacts and Limitations of Residential Geothermal Heating Systems,"London, England",March 2011,The Royal Borough of Kingston,"['Tilley, Burt S.']","This report looks at the impacts and limitations of ground-source heat pumps (GSHPs) for residential heating and cooling. While GSHPs could be a viable solution to the energy and environmental issues in the world, so far GSHPs have failed a widespread market penetration due to its high initial cost and space requirements. Through hybridization with other renewable technology it is however possible to lessen those limitations. Based on surveys we conducted, we believe that consumers are more interested in green technologies and that GSHPs will hold a larger market share in the future despite its limitations.",http://digitalcommons.wpi.edu/iqp-all/2977,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3976&context=iqp-all
Sustainable building design -- strengthening capacities for planning and implementation.,"London, England",January 2002,"London Borough of Merton, London, England","['Krueger, Robert']","The purpose of this project was to develop guidance for creating synergy among planners, city officials, developers, architects, and other interested parties, allowing them to identify and evaluate best sustainable building practices for particular locations. Success comes through extensive research into sustainable building design, policy and development, examination of communication channels utilized in developmental processes, and analysis of existing sustainable sites using an internationally viable case study template. The end result provides the London Borough of Merton and Asia URBS with direction for future project growth.",http://digitalcommons.wpi.edu/iqp-all/4309,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5308&context=iqp-all
Storm Surge & Critical Infrastructure on Nantucket,"Nantucket, Massachusetts",December 2015,Nantucket Emergency Management,"['Golding, Dominic', 'Ludwig, Reinhold']","Storm surge, produced by increasingly frequent severe storms, threatens the daily operations of downtown Nantucket. This project identifies and analyzes ways the Town might protect Nantucket’s downtown critical infrastructure from storm surge and offers recommendations for mitigating future adverse impacts. In collaboration with Dave Fronzuto and the Nantucket Emergency Management Agency, we assessed the risks caused by storm surge for each piece of infrastructure within the downtown area and developed a prioritized list of infrastructure to be modified. We compiled a database of relevant information for each infrastructure element in our study area, along with a GIS layer to facilitate data retrieval.",http://digitalcommons.wpi.edu/iqp-all/1130,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2129&context=iqp-all
Mitigating Flooding in Khlong Toei,"Bangkok, Thailand",March 2017,Duang Prateep Foundation,"['Belz, Melissa', 'DiMassa, Daniel']","In Bangkok, Thailand, torrential downpours during monsoon season lead to flooding in the Khlong Toei slum, which prompts many health and sanitation concerns. We identified the key infrastructural contributors to flooding and created a collection of geographical maps based on our interviews, observations, and measurements in order to convey to external stakeholders the susceptibility of certain areas within the slum. Additionally, we formulated a series of recommendations to improve the waste management practices and the drainage infrastructure within the slum.",http://digitalcommons.wpi.edu/iqp-all/548,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1547&context=iqp-all
An Analysis of Environmental Certifications in Costa Rica,Costa Rica,May 2016,Camara de Industrias Costa Rica,"['Belz, Melissa', 'Rosbach, Derren']","Companies use environmental certifications to demonstrate their sustainable practices to consumers, but Costa Rican companies are not taking advantage of certifications to gain competitiveness in the market. We worked with the Cámara de Industrias in San Jose, Costa Rica to determine how companies can effectively evaluate environmental certifications. Our group interviewed company representatives to determine key factors that companies take into account when considering certifications. We created comparison charts to assist companies in deciding which certification to pursue and made recommendations to encourage the implementation of certifications, including an online database, an advertising campaign, and a government incentive program.",http://digitalcommons.wpi.edu/iqp-all/282,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1281&context=iqp-all
Printer's Building,"Worcester, MA",December 2008,Davis Publications,"['Krueger, Robert', 'Shim, Eunmi']","The Printer's Building is an architectural landmark, designed to be an advanced structure for its time. Eighty-five years later, it is no longer a state-of-the-art building. The project goal was to reduce the energy inefficiency within the building. This project consisted of two parts. The first was to audit the building and locate its inefficiencies. Following the audit, recommendations were made for technologies that will reduce the energy usage of the Printer's Building by making it more efficient in all areas. The audit was be accomplished by examining all the systems within the building, and the current efficiency at which they are performing. The end objective of the project was presenting ways in which the Printer's Building can reduce its overall energy consumption.",http://digitalcommons.wpi.edu/iqp-all/1825,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2824&context=iqp-all
Methods of Instruction for Partner Dancing,"Worcester, MA",March 2012,Davis Publications,"['John, Melissa-Sue', 'Skorinko, Jeanine']","Differences between authoritative and authoritarian teaching styles on Competitive Ballroom Dance students were examined.  Researchers observed beginner lessons and surveyed the instructors and students to determine the perceived quality of the lesson and performance at a major dance competition. Although authoritative teaching style tended to yield better performance scores than authoritarian, this difference was not statistically significant.",http://digitalcommons.wpi.edu/iqp-all/325,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1324&context=iqp-all
"Motivating Sustainable Behaviour Change in Apartment Residents of Moreland, Australia","Melbourne, Australia",February 2013,Moreland Energy Foundation Limited,"['Davis, Paul W.']","The Moreland Energy Foundation in Melbourne, Australia, sought to lower electricity use among apartment residents, who face special barriers to living sustainably. We developed a two-pronged, research-based strategy to promote energy saving habits and devices: information about energy saving habits and devices and competition among residents to reduce consumption as a motivator. A case-control study demonstrated the value of competition: competing residents adopted 250% more energy saving habits and devices than the non- competing control group.",http://digitalcommons.wpi.edu/iqp-all/1707,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2706&context=iqp-all
Promoting and Teaching Entrepreneurship in Albania through Business Camps,Albania,December 2015,Partners Albania,"['Dempski, Robert E.', 'Hersh, Robert']","Young people of Albania suffer from severe unemployment, causing many technically trained students to emigrate to other countries for better opportunities. This project, sponsored by Partners Albania for Change and Development, focused on the creation of business camps to promote entrepreneurship among vocational students. The creation of innovative businesses by these students will help to spur local economic growth and reduce the unemployment rate. Through multiple interviews, the camp curriculum was tailored to match the economic climate of Albania. These camps were extremely effective at teaching entrepreneurial ideas, with the students showing notable improvements in their understanding of business fundamentals.",http://digitalcommons.wpi.edu/iqp-all/3374,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4373&context=iqp-all
Optimising Educational Materials for Alternative Energy Technologies,"Melbourne, Australia",April 2013,CERES,"['Ault, Holly Keyes']","The Centre for Education and Research in Environmental Strategies in Melbourne, Australia, needed better educational materials to inform a casual audience on the role of renewable energy technologies in today’s society. With guidance from experts at Museums Victoria and the Worcester Polytechnic Institute, we learned how to develop effective educational resources. The resulting design process enabled the creation of informative, attractive, and engaging educational materials. Our team developed an educational display and implemented a collection of web pages for the CERES biogas digester. We provided recommendations for the further use of our design process in the improvement of the remaining technological displays and in the aesthetic development of the renewable energy park.",http://digitalcommons.wpi.edu/iqp-all/1238,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2237&context=iqp-all
Bio-Diesel and the Public Transportation System of San Jose,"San Jose, Costa Rica",July 2007,CNP+L,"['El-Korchi, Tahar', 'Higgins, Lorraine D']","This report, prepared for the National Cleaner Production Centers (CNP+L) of San Jose, Costa Rica assessed the feasibility of using bio-diesel or bio-diesel blends in public transportation buses.  There were three primary questions that this report addressed.  First, what is the fuel efficiency of bio-diesel compared to diesel in public transit buses?  Second, what is the cost difference for the use of bio-diesel versus diesel in the public transit sector of San Jose?  Finally, what impact will bio-diesel have on the economy, environment, and society and how are these impacts interrelated? Our findings were used to assist CNP+L in making policy decisions regarding bio-diesel use in the public transportation system of San Jose.",http://digitalcommons.wpi.edu/iqp-all/3044,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4043&context=iqp-all
Go Green Week: Developing Community Through Sustainability Initiatives,"San Jose, Costa Rica",April 2018,University of Worcester,"['Jarvis, Susan M.']","The University of Worcester, UK, in conjunction with the Worcester City Council, requested our team organize a Go Green Week fair in April, 2018 as part of their joint commitment to creating a more sustainable city. We expanded upon a previous WPI teams Go Green Week model to promote sustainability within the community, focusing on areas such as energy conservation, recycling, reducing plastic and food waste, and promoting the health of the local river. Throughout the event, our team collected surveys to evaluate both the sustainability knowledge and behavior of our sample and compare these results to University sample data. We determined that our sample has a foundation in certain areas of sustainability, and made recommendations for additional sustainability education in the community.",http://digitalcommons.wpi.edu/iqp-all/5226,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6225&context=iqp-all
Environmental Certification in Costa Rica: Developing a Tool to Guide SMEs’ Decisions,Costa Rica,December 2012,Centro Nacional para la Produccion mas Limpia,"['Kinicki, Robert', 'Mathews, Lauren M.']","Many SMEs in Costa Rica are not fully aware of the various international and national environmental certifications. The goal of this project was to provide the CNP+L with tools to assist SMEs in choosing which environmental certification will be most beneficial for their company. We researched applicable certifications and standards, and then conducted interviews with representatives from Costa Rican companies to gain their perspectives on and first-hand experiences with the certifications and standards. Using this information, we gathered the overlapping viewpoints and created a comparison chart to further educate SMEs on the differences among the standards. Finally, we designed a decision tree to aid SMEs in choosing the most appropriate certification based upon their unique situation.",http://digitalcommons.wpi.edu/iqp-all/754,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1753&context=iqp-all
Improving Environmental Conditions at the Habitat for Humanity ReStore,Worcester Community Project Center,May 2015,Habitat for Humanity Metro West/Greater Worcester,"['Zeugner, John F.']","The Habitat for Humanity Greater Worcester ReStore often reaches extreme temperatures during the summer months, creating a hazardous environment for its occupants. Our team surveyed ReStore customers, volunteers, and staff in order to evaluate the impact environmental conditions have on their experiences. By performing cooling load calculations, assessing ventilation and insulation options, and analyzing costs, the team provided the ReStore with a list of potential solutions and focused recommendations based on cost and effectiveness, most notably the AIRMAX ventilation system.",http://digitalcommons.wpi.edu/iqp-all/1605,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2604&context=iqp-all
Evaluation of the Community Clean Energy Resiliency Initiative Application Process,"Boston, Massachusetts",October 2014,Massachusetts Department of Energy Resources,"['Tuler, Seth', 'Vernon-Gerstenfeld, Susan']","The Massachusetts Department of Energy Resources (DOER) has implemented the Community Clean Energy Resiliency Initiative to develop resilient systems within Massachusetts. Our project goal was to evaluate the Technical Assistance application process of the grant program. We accomplished this goal by surveying awarded applicants for feedback on their application process experience. We identified the strengths and weaknesses of the process and developed recommendations about the application distribution, time frame, process information and assistance provided by the DOER and consulting firms.",http://digitalcommons.wpi.edu/iqp-all/1684,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2683&context=iqp-all
WPI Energy Efficiency Lighting Study,"Boston, Massachusetts",March 2011,Massachusetts Department of Energy Resources,"['Savilonis, Brian James', 'Spanagel, David I.']","This project determined the feasibility of lowering WPI's total carbon footprint and energy usage costs through the modification of light sources and technology. By conducting an inventory of light bulbs in various on-campus buildings and determining the utilization of each type of light bulb in each building, the team calculated payback periods, annual rates of return and reduction in carbon footprint for various replacement light bulbs. If implemented, these recommendations will reduce WPIs total carbon footprint by about 4%, while also reducing annual campus energy costs for lighting by about 3%.",http://digitalcommons.wpi.edu/iqp-all/2529,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3528&context=iqp-all
Perceived barriers to mixed-mode ventilation in Melbourne commercial buildings,"Boston, Massachusetts",January 2000,"CSIRO, Melbourne, Australia","['Ward, Matt']","This project was completed for CSIRO to identify perceived barriers to implementing mixed-mode ventilation systems in commercial buildings in Melbourne, Australia. Use of the systems will reduce energy consumption, thereby lowering CO production. Interviews were conducted with designers and decision makers and building occupants were surveyed about workplace conditions and environmental concern. It was determined that there is potential for the use of mixed-mode ventilation in Melbourne, but many barriers do exist, particularly lack of information about the system.",http://digitalcommons.wpi.edu/iqp-all/4779,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5778&context=iqp-all
NCER Funded Awards in the Electronics Sector,"Washington, DC",December 2005,National Center for Environmental Research,"['El-Korchi, Tahar', 'Servatius, Brigitte']","This project was supported by the National Center for Environmental Research (NCER), a division of the Environmental Protection Agency (EPA). The impacts of NCER funded research in the electronics sector were determined by performing qualitative and quantitative assessments of its effect on academia, industry, and the environment. This report describes how the assessments were done, specifically background research, data collection and analysis, discussion, conclusions, and recommendations for future NCER funded research.",http://digitalcommons.wpi.edu/iqp-all/2826,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3825&context=iqp-all
An Update on the Hydrodynamics of the Venice Canals,"Venice, Italy",December 2011,"Centro Maree, ISMAR, IPROS","['Bianchi, Frederick W.', 'Carrera, Fabio']","This project provides an update on the hydrodynamics of 93 canals segments in Venice.  During the 1990's, students from Worcester Polytechnic Institute (WPI) measured the currents in the entire canal system.  Our team set out to verify whether the rumors that velocities are changing were founded.  Our research has confirmed that indeed there have been changes in the patterns of movement of the waters of the inner canals.  In particular, the western end of the Grand Canal is displaying a pattern of flow that is the opposite to the direction measured in 1966.  The results of our project indicate that more research is needed to fully understand the behavior of tidal flows, especially the major lagoon channels.",http://digitalcommons.wpi.edu/iqp-all/2731,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3730&context=iqp-all
An assessment of the impacts of relocation in a Thai village.,"Venice, Italy",January 2000,Electricity Generating Authority of Thailand,"['Weininger, Stephen J.']","The Electricity Generating Authority of Thailand (EGAT) operates a high capacity coal-fired power plant in Mae Moh District, Thailand. In the past, EGAT relocated villagers for developmental purposes. This project evaluated the impacts of the different types of relocation projects, and determined which, if any, would be acceptable in the future. In order to obtain the information necessary for such an evaluation, surveys were administered to over 400 villagers and supplemented with nine focus group interviews.",http://digitalcommons.wpi.edu/iqp-all/3945,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4944&context=iqp-all
Water supply usage in Vietnam.,"Venice, Italy",January 2002,Electricity Generating Authority of Thailand,"['Farr, William W.']","This IQP researches water usage and supply in Vietnam. Agricultural systems and domestic systems are extensively discussed. The main focus is on rural areas since urban areas are well established compared to Vietnam's rural regions. Agricultural use in this report describes methods that conserve water as well as describing some of the health issues related to irrigation. For domestic use, the report stresses procedures that work well in rural settings. Possible improvements and observations are also included in this report.",http://digitalcommons.wpi.edu/iqp-all/4476,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5475&context=iqp-all
"Valuing Ecological Services of Peri-Urban Open Spaces: A Case Study of the West Tatnuck Neighborhood of Worcester, Massachusetts","Worcester, MA",December 2007,Greater Worcester Land Trust,"['Krueger, Robert']","Ecological services are the goods and services provided by an ecosystem that help sustain human life. Traditional economic valuation lacks the flexibility to account for all these services. Ecological economics uses different approaches to account for these services and provides a more accurate value of open space. A study of the West Tatnuck neighborhood of Worcester, Massachusetts highlights the differences between the schools of thought and shows the value of ecological services to an urban area.",http://digitalcommons.wpi.edu/iqp-all/365,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1364&context=iqp-all
Return to the City of Water: Quantifying Change in the Venetian Canals,"Venice, Italy",December 2010,Greater Worcester Land Trust,"['Carrera, Fabio', 'Cocola, James']","This project addressed the rumors spreading through the city of Venice, Italy regarding an alteration in the canal system.  Residents have reported a change of flow and a movement of the watershed that influences the Venetian canals.  Development and projects such as MOSE have exacerbated these concerns.  This project addressed these rumors by analyzing the change of the canal system through hydrodynamics and tide delay studies.",http://digitalcommons.wpi.edu/iqp-all/2413,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3412&context=iqp-all
The societal impact of Mars exploration.,"Venice, Italy",January 2003,Johnson Space Center,"['Durgin, William W.']","This eight-week project completed at NASA's Johnson Space Center addresses the societal impact of Mars exploration. The focus of this project is communicating the potential discoveries, scientific knowledge, and the valuable public insights that have been and can be developed as a result of exploring Mars. The final product, a magazine article, seeks to capture the excitement of scientific discovery that is waiting on Mars in a way that the majority of citizens can fully understand and appreciate.",http://digitalcommons.wpi.edu/iqp-all/4417,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5416&context=iqp-all
Partnering with CERES Community Environment Park to Motivate Behavioural Change towards Whole-of-Water-Cycle Management,"Melbourne, Australia",May 2014,CERES Community Environment Park,"['Klein, Andrew G.', 'Tuler, Seth']","Melbourne, Australia frequently experiences water shortages and is just recovering from the worst drought since colonization. Many technologies for water conservation are available to Melbournians, but have not been widely accepted or implemented. In this project, our IQP team worked with the Centre for Education and Research in Environmental Strategies (CERES) to create educational resources for residents with the goal of motivating behavioural changes towards enhanced water conservation. By analysing and combining results from interviews of experts and staff members, surveys from visitors, and a review of literature, we developed content and designs for a suite of signs and webpages for use at CERES as well as recommendations for their implementation.",http://digitalcommons.wpi.edu/iqp-all/774,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1773&context=iqp-all
ALTERNATIVE RENEWABLE ENERGY,"Melbourne, Australia",September 2010,CERES Community Environment Park,"['Humi, Mayer']","Scientists, environmentalists and engineers are generating solutions to create a sustainable energy infrastructure in order to maintain all technological advances and protect the environment. With this project, the group researched the advantages and disadvantages of various fuels. Issues include these energy sources' impact on the environment and health, safety, as well as current and future energy legislations. As a result of this research, the group has compared all forms of energy by creating a ranking system, and will reveal which are the most practical and sustainable forms of energy.",http://digitalcommons.wpi.edu/iqp-all/1062,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2061&context=iqp-all
"Analyzing Perceptions of Residents Living with Flood Protection in Lower Hutt, New Zealand",New Zealand,March 2018,Greater Wellington Regional Council,"['Elmes, Michael B.', 'Ruiz, Carolina']","The RiverLink project aims to improve flood protection, community engagement, and transportation in Lower Hutt. Our project assisted the GWRC in assessing perceptions through community and expert interviews as well as through naturalistic observation. We found that the river parks along the Hutt River were underutilized and perceived to be unsafe, and there was a mixed level of awareness regarding RiverLink. To address these concerns, we recommended improving sight lines, adding park amenities, and increasing community engagement during construction.",http://digitalcommons.wpi.edu/iqp-all/2076,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3075&context=iqp-all
Promoting Sustainable Homes: Expanding Sustainability Outreach,New Zealand,May 2018,Alternative Technology Association (ATA),"['Foo, Katherine', 'Higgins, Lorraine D.']",Our project aimed to spread awareness about sustainable housing in Australia. We sought to enhance Sustainable,http://digitalcommons.wpi.edu/iqp-all/5200,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6199&context=iqp-all
Engaging the Community: The Green Week Initiative,New Zealand,May 2017,University of Worcester,"['Smith, Ruth L.']","An increased interest in environmental conservation has prompted the city of Worcester, UK to initiate new methods of promoting sustainability. We expanded upon a Go Green Week model developed by the University of Worcester to promote sustainable practices, and strengthen the relationship between the University and the city of Worcester. Through collaboration with local businesses, charities and organizations that value sustainability, we engaged the community to support the City’s long-term goal of becoming a Transition Town.",http://digitalcommons.wpi.edu/iqp-all/131,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1130&context=iqp-all
A Study on Hybrid Cars: Environmental Effects and Consumer Habits,New Zealand,April 2010,University of Worcester,"['Kasouf, Chickery J.']","The focus of this hybrid vehicle technology paper was whether hybrids meet the expectations for environmental benefits suggested by society. Types of hybrids, the future of the technology, technical aspects of production and efficiency were analyzed and focus groups revealed buyer trends. We concluded that hybrids have drawbacks that offset their fuel efficiency. Their price is generally a poor economic investment and energy efficient processing techniques need to be developed for the advanced materials in hybrids. Widespread change to hybrid technologies is not a feasible option in the near future due to cost and the limited amount of hybrids on the road today.  Hybrid technology has potential in the future, but as for right now they are not a significant improvement over today's engine.",http://digitalcommons.wpi.edu/iqp-all/1349,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2348&context=iqp-all
The Cuvelai-Etosha Basin Management Approach,"Windhoek, Namibia",May 2007,Desert Research Foundation of Namibia,"['Krueger, Robert', 'Looft, Fred J.']","This project assessed the implementation of community-based water resource management in the Iishana sub-Basin of the Cuvelai-Etosha Basin, Namibia, as outlined by the Water Resources Management Act No. 24 of 2004. Through interviews, the team identified factors that affect its implementation and provided recommendations and areas of focus for future research to promote the sustainable and successful implementation of community-based water management. This project was completed in cooperation with the Desert Research Foundation of Namibia.",http://digitalcommons.wpi.edu/iqp-all/2476,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3475&context=iqp-all
Arms and armor of sub-Saharan Africa.,"Windhoek, Namibia",January 2004,Desert Research Foundation of Namibia,"['Forgeng, Jeffrey L.']","This joint project with the Higgins Armory Museum created a website with a web-based database for the museum's collection of artifacts from Sub-Saharan Africa. It also documented the geography, history, culture, economy, military history and arms and armor of the region. The artifacts were photographed and linked with the database. The web-based database is searchable and contains the information about the artifacts.",http://digitalcommons.wpi.edu/iqp-all/4492,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5491&context=iqp-all
Water Knowledge,"Sante Fe, New Mexico",May 2011,Santa Fe Watershed Association,"['Carrera, Fabio', 'Orr, John A.']","Water scarcity is problematic in Santa Fe, New Mexico. The Water Team was tasked to help the Santa Fe Watershed Association to revive the Santa Fe River by improving people's relationships with water. First the team created maps using Google Maps and Java coding that link to data collected by the city. These maps will automatically update when the city modifies data spreadsheets. Second, the team created a model to serve as a foundation to show the interaction of water in the environment within the Santa Fe River Watershed. A phone application was designed to increase public interaction with the river. This project has provided the city of Santa Fe with the ability to transform its methods of publicizing watershed data and increasing community involvement in the Santa Fe Watershed.",http://digitalcommons.wpi.edu/iqp-all/3259,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4258&context=iqp-all
Marketing the Assets of Instituto Nacional de Biodiversidad,Costa Rica,December 2011,National Institute of Biodiversity,"['Dempsey, James', 'Plummer, Jeanine D.']","This project, completed for Instituto Nacional de Biodiversidad (INBio), identified options and defined mechanisms for INBio to market products derived from its biodiversity research. INBio, accustomed to receiving consistent outside funding, never established an independent method of making revenue and is now seeking to market its biodiversity research as biodiversity rights. Biodiversity rights and their potential markets were compared based on criteria such as marketability and profitability. Images was determined to be the most marketable biodiversity right in the form of digital services and publications. Marketing plans and a business proposal were developed for INBio to market and potentially profit from biodiversity images.",http://digitalcommons.wpi.edu/iqp-all/2839,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3838&context=iqp-all
Green Job Preparation in Costa Rica,Costa Rica,December 2012,Camara de Industrias de Costa Rica,"['Kinicki, Robert', 'Mathews, Lauren M.']","The goal of this project done in conjunction with the Camara de Industrias de Costa Rica (CICR) was to recommend strategies for the advancement of training programs that would facilitate the further growth of green jobs in Costa Rica. By researching economic green development in China, Russia, Mexico, and Brazil and conducting qualitative interviews with nine companies and two universities within Costa Rica, we developed a list of recommendations classified in the areas of coordination with public and private institutions, management and evaluation, CICR training programs, job search issues, and international collaboration. These recommendations will help the CICR advance the proliferation of green jobs and training programs in Costa Rica.",http://digitalcommons.wpi.edu/iqp-all/1436,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2435&context=iqp-all
Analysis of the Feasibility of Utilizing the STARS 0.5 Rubric as a Guide for the Worcester Polytechnic Institute Sustainability Initiative,Costa Rica,March 2009,Camara de Industrias de Costa Rica,"['Huang, Xinming', 'Vernon-Gerstenfeld, Susan']","STARS is a powerful tool that may assist WPI in developing into a sustainable community.  The goal of this project was to determine whether or not STARS is a practical method for WPI to track and improve its sustainability, and if any adjustments are necessary to improve its efficacy.  Given the extensive scope of the STARS 0.5 rubric, this project only focused on Category 2: Operations.  This project analyzed the STARS 0.5 program to better understand its form and function, discussed key information regarding the operations and practices of the WPI campus as they pertain to the rubric, and investigated the feasibility of utilizing the STARS 0.5 Operations Category at WPI and employed the rubric to identify areas in which WPI can improve its sustainability.",http://digitalcommons.wpi.edu/iqp-all/1115,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2114&context=iqp-all
Reducing Household Carbon Footprints in Newton,"Boston, Massachusetts",May 2010,Green Decade Newton,"['Demetry, Chrysanthe', 'Vaz, Richard Francis']","Green Decade Newton has set a goal to reduce 25% of Newton households' carbon footprints by 25% by 2012. This project aimed to provide a mechanism for Green Decade and its members to monitor and achieve their carbon footprint goals. Recommendations included a design for a new carbon calculator, motivational tools to encourage carbon data collection, carbon footprint reduction materials for members to utilize, and overall recommendations for the usability and content of Green Decade's website.",http://digitalcommons.wpi.edu/iqp-all/479,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1478&context=iqp-all
Closing the Tap on American Southwest,"Boston, Massachusetts",April 2008,Green Decade Newton,"['Crusberg, Theodore C.']","This project is dedicated to increasing the awareness of the water situation in the Southwestern USA. The effects of global warming, increased population, and unchecked water usage has led to the current water crisis. The history of how water issues have been handled in the past is discussed, followed by an analysis of the state of the current water situation. Solutions to the problems addressed in previous chapters are scrutinized and evaluated. These solutions deal with the issues from a national level, working with laws and regulations, down to the personal level, such as watering lawns. A number of final solutions are proposed based upon previous evaluations.",http://digitalcommons.wpi.edu/iqp-all/2686,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3685&context=iqp-all
