Sponsor,Center,Count
Designing Hong Kong & Harbour Business Forum,"Hong Kong, China",2
Designing Hong Kong and The Harbour Business Forum,"Hong Kong, China",3
Designing Hong Kong Limited (DHK) and Harbour Busi,"Melbourne, Australia",2
"Designing Hong Kong Limited, Harbour Business Foru","Hong Kong, China",1
Designing Hong Kong Ltd & Harbour Business Forum,"Hong Kong, China",1
"Designing Hong Kong, Ltd.","Hong Kong, China",1
"Designing Hong Kong, Ltd. and Harbour Business For","Hong Kong, China",4
Designing Hong Kong/Harbour Business Forum,"Hong Kong, China",3
DevelopSpringfield,New Zealand,3
DevelopSpringfield,Russia,3
DevelopSpringfield,"Venice, Italy",3
DevelopSpringfield,"Boston, Massachusetts",2
DevelopSpringfield,"Melbourne, Australia",2
DevelopSpringfield,"Hong Kong, China",1
DevelopSpringfield,"Panama City, Panama",1
DevelopSpringfield,Pioneer Valley Econ Dev,1
DevelopSpringfield,"Washington, DC",1
DevelopSpringfield.,"London, England",1
"Dickens House Museum, London, England","Melbourne, Australia",3
Dickens Museum,"London, England",1
"Diocese of Fall River, Massachusetts",Puerto Rico,1
Discovery Museums,"San Jose, Costa Rica",1
Discovery Museums,Worcester Community Project Center,1
Dismas House of Massachusetts,Worcester Community Project Center,4
"Dismas House of Massachusetts, Inc.",Worcester Community Project Center,2
DISUR,Puerto Rico,2
DNER,Puerto Rico,1
DNER,Worcester Community Project Center,1
Doctor Ronald Arrieta Calvo,"San Jose, Costa Rica",2
DOE,"Washington, DC",1
Doherty High School,Namibia,2
Doherty High School,"Bangkok, Thailand",1
Doherty High School,"Venice, Italy",1
Doherty High School,"Washington, DC",1
Doherty High School,Worcester Community Project Center,1
Doherty Memorial High School,"San Jose, Costa Rica",5
Doherty Memorial High School,Namibia,4
Doherty Memorial High School,"Nantucket, Massachusetts",4
Doherty Memorial High School,"London, England",3
Doherty Memorial High School,"Washington, DC",3
Doherty Memorial High School,Worcester Community Project Center,3
Doherty Memorial High School,"Panama City, Panama",2
Doherty Memorial High School,"Sante Fe, New Mexico",2
Doherty Memorial High School,"Hangzhou, China",1
"Doi Kham Food Products, Co. Ltd.","Bangkok, Thailand",1
Don McCasland,"Boston, Massachusetts",1
Donald McCasland,"Boston, Massachusetts",3
Donovan Pedro Triple Trust Organisation,"Cape Town, South Africa",4
Dow Chemical,"Cape Town, South Africa",2
Dr. Arti Kashyap,India,2
Dr. Bharat Singh Rajpurohit,India,2
Dr. Greogory Volturo,New Zealand,3
Dr. Ivo Dobrev,"Zurich, Switzerland",2
"Dr. Joseph DiFranza, UMass Medical School",Worcester Community Project Center,2
"Dr. Julia Mullen, WPI Computing and Communications","Melbourne, Australia",1
"Dr. Kevin Winter, University of Cape Town","Cape Town, South Africa",1
Dr. Liu Guang,"Sante Fe, New Mexico",3
Dr. Manu Devadevan,India,3
Dr. Manuel ValdÃ©s-Pizzini,"San Juan, Puerto Rico",1
Dr. Rajeshwari Dutt,"Hong Kong, China",1
Dr. Ronald Arrieta,Costa Rica,1
Dr. Sergio Musmanni,"San Jose, Costa Rica",1
Dr. Seth Tuler; Dr. Nuntavarn Vichit-Vadakan,"Bangkok, Thailand",3
Dr. Suhong Yang,"Hangzhou, China",1
Dr. Supawan Tantayanon,"Bangkok, Thailand",1
Dr. Uwe Schulz and Dr. Shaun West,"Zurich, Switzerland",1
Dress for Success,"Cape Town, South Africa",3
DSA,"Windhoek, Namibia",2
Duang Prateep Foundation,"Bangkok, Thailand",24
Duang Prateep Foundation,India,2
Duang Prateep Foundation,"Hong Kong, China",1
"Duang Prateep Foundation, Bangkok, Thailand","Copenhagen, Denmark",3
"Duang Prateep Foundation, Bangkok, Thailand",Costa Rica,2
Duncan's Abbey,"London, England",1
E W Tipping Foundation,"Melbourne, Australia",1
EACDA,"Venice, Italy",2
EACDA Conference 2014 Technology Hub,"Windhoek, Namibia",1
East Coast Grill,"Bangkok, Thailand",2
East Highland Area Neighborhood Association,"Melbourne, Australia",2
East Highland Neighborhood Association,"Boston, Massachusetts",1
Eastern American Choral Directors Association,"Venice, Italy",1
Eco-Albania,Albania,1
Ecobeam,"Cape Town, South Africa",8
Ecobeam,"Venice, Italy",1
ecoBEAM,"Cape Town, South Africa",1
EcoCentre,"Melbourne, Australia",2
Eco-Net,Worcester Community Project Center,2
EcoTarium,Worcester Community Project Center,4
EcoTarium,"Zurich, Switzerland",3
EcoTarium,Puerto Rico,1
EcoTarium,"Washington, DC",1
EcoTarium,"Worcester, MA",1
"EcoTarium, Worcester, MA",India,7
"EcoTarium, Worcester, MA","San Jose, Costa Rica",2
"EcoTarium, Worcester, MA","Cape Town, South Africa",1
"EcoTarium, Worcester, MA","Sante Fe, New Mexico",1
EDEN Center,Albania,1
Eden Center,Albania,1
Edith Nourse Rogers Memorial Hospital Laboratory,"San Jose, Costa Rica",2
Edmund Schofield,"Cape Town, South Africa",5
Education University of Hong Kong,"Hong Kong, China",3
EduVenture,Namibia,2
EduVentures,Namibia,4
EduVentures,"Windhoek, Namibia",2
EduVentures,Puerto Rico,1
EduVentures,Worcester Community Project Center,1
EduVentures Trust,Namibia,5
Edward Street Child Services,"Worcester, MA",2
Eiva Arts Foundation,Costa Rica,1
El Benemérito Cuerpo de Bomberos de Costa Rica,Costa Rica,2
El Centro de Investigaciones en Contaminacion Ambiental,New Zealand,2
El Centro Nacional de Produccion Mas Limpia,"San Jose, Costa Rica",1
El Cuerpo de Bomberos,"San Jose, Costa Rica",1
El Ministerio de Agricultura y Ganaderia (MAG),Costa Rica,1
El Museo de las Conceptas,Puerto Rico,1
"El Museo de los Ninos, San Jose, Costa Rica","Melbourne, Australia",2
El Museo Nacional de Costa Rica,"Copenhagen, Denmark",3
"El Yunque National Forest, PR",Puerto Rico,1
Electricity Generating Authority of Thailand,India,1
Elm Park Community School,"Hong Kong, China",1
"Elm Street Community School, Worcester, MA","Venice, Italy",1
EMAP Construct London,"Washington, DC",2
Emergency Services Foundation,"Melbourne, Australia",5
Emergency Services Foundation,"Washington, DC",3
Emergency Services Foundation (ESF),"Melbourne, Australia",1
EMOV EP,"Hong Kong, China",2
"EMOV, EP","Copenhagen, Denmark",1
EMOV-EP,Puerto Rico,2
Empa,"Zurich, Switzerland",1
Empower Energy Cooperative,Worcester Community Project Center,1
Empresa de Servicios PÃºblicos de Heredia,"San Jose, Costa Rica",2
Empresa de Servicios Publicos de Heredia,"San Jose, Costa Rica",5
"Empresas Ortiz-Brunet, Inc., Puerto Rico",New Zealand,2
"Empresas Terrassa, Inc. Bayamon, P.R","Washington, DC",1
Enactus WPI,Namibia,1
Ener-G Tech Investment,Costa Rica,1
Energy Affairs Administration,Puerto Rico,3
"Energy Answers Corporation, San Juan, Puerto Rico",Morocco,5
Engineering College of Copenhagen,"Zurich, Switzerland",1
Engineering Information Foundation,Morocco,2
English Heritage,"London, England",1
EnGuage,"Cape Town, South Africa",4
EnjoinGood.org,"London, England",2
EnjoinGood.org,"Venice, Italy",2
ENSIAS University,"Venice, Italy",1
"Entebbe, Costa Rican Foundation for Sustainable Development",Namibia,3
Environmental Department of the City of Venice,"Melbourne, Australia",4
"Environmental Department of the City of Venice, Venice, Italy","London, England",2
Environmental Education Centre,"London, England",1
Environmental Protection Agency,"Washington, DC",8
Environmental Protection Agency,"Copenhagen, Denmark",2
Environmental Protection Agency,"Ifrane, Morocco",1
Environmental Protection Agency,"Venice, Italy",1
"Environmental Services Department, Borough of Merton, London, England","London, England",2
EPA,"Washington, DC",1
EPA NCER,"Washington, DC",1
EPA Region 1,"Boston, Massachusetts",3
EPOCA,Worcester Community Project Center,3
EPOCA,"Sante Fe, New Mexico",1
EPOCA,"Washington, DC",1
Ericsson TLC s.p.a,"Zurich, Switzerland",3
Ernst & Young,Russia,1
Ernst and Young,Russia,1
ESPH,"San Jose, Costa Rica",1
ETAPA,Namibia,5
ETAPA/MICPA,"Venice, Italy",1
Euman,"Copenhagen, Denmark",1
Evergreen College,"Melbourne, Australia",2
EWOK,"Washington, DC",1
Executive Office of Energy & Environmental Affairs,Worcester Community Project Center,1
"Executive Office of Neighborhood Services, Worcester, Massachusetts",New Zealand,2
EY (CIS) B.V.,Russia,1
Fabio Carrera,"Venice, Italy",4
Fabrikat,"Hong Kong, China",2
Fairbnb,"Venice, Italy",1
Family Health Center of Worcester,"Washington, DC",1
Fawkner Community House,"Melbourne, Australia",1
FDA,"Washington, DC",4
Ferdi Brinkman,Namibia,2
Fideicomiso de Conservacion de Puerto Rico,"San Juan, Puerto Rico",1
Financial University,New Zealand,5
Financial University,Namibia,1
Financial University of Russian Federation,Russia,1
Finca el Jardin,"Melbourne, Australia",1
FinLab,Russia,5
Fire Department of Costa Rica,Costa Rica,1
Fire Equipment Manufacturers’ Association,Costa Rica,1
Fire Protection Association Australia,"Melbourne, Australia",13
Fire Protection Association Australia,Worcester Community Project Center,4
Fire Protection Association of Australia,"Melbourne, Australia",1
Fire Services Museum of Victoria (FSMV),"Melbourne, Australia",1
Fire Services Museum Victoria,"San Jose, Costa Rica",2
FirePRO,"Venice, Italy",3
FirePRO Engineering,"San Jose, Costa Rica",1
FIRST,"San Jose, Costa Rica",2
FIRST,"Worcester, MA",1
First Night Worcester,"San Jose, Costa Rica",3
FirstBank,"San Juan, Puerto Rico",4
"FirstBank, Puerto Rico","San Juan, Puerto Rico",2
Fitchburg Department of Public Works - Wastewater,WORC / Worcester Community Project Center,4
Fitchburg MA Public School System,"Cape Town, South Africa",3
Footprint Possibilities,"Panama City, Panama",4
Footprint Possibilities,"Cape Town, South Africa",1
Forbrugerrådet,"Copenhagen, Denmark",2
Forest & Bird Upper Hutt and Victoria University,Costa Rica,1
Forest Grove Middle School,"Washington, DC",5
Forest Grove Middle School,"San Juan, Puerto Rico",2
Forest Grove Middle School,"Copenhagen, Denmark",1
Forest Grove Middle School,"London, England",1
Foundation for Community Work,"Cape Town, South Africa",1
Foxboro Company,"Hong Kong, China",1
FPA Australia,"Melbourne, Australia",1
Framingham Public School System,"Melbourne, Australia",4
FRAXA,"Copenhagen, Denmark",2
FRAXA,"Windhoek, Namibia",2
Fred Civian and Andrea Briggs from the DEP,Worcester Community Project Center,1
Friendly House,Namibia,5
Friendly House,"Venice, Italy",1
Friendly House Inc,"Cape Town, South Africa",2
Friendly House Inc,"London, England",2
Friendly House Inc,"Washington, DC",2
Friends of the Earth,"Melbourne, Australia",3
Friends of the Earth,"Bangkok, Thailand",1
Friends of the Earth,"Hong Kong, China",1
Friends of the Earth,Namibia,1
Friends of the Earth (Hong Kong),"Hong Kong, China",4
Friends of the Earth Hong Kong,"Hong Kong, China",10
Fundacíon Paraguaya,"Sante Fe, New Mexico",3
Fundación de Rutas Naturbanas,Costa Rica,1
Fundación Paraguaya,"Bar Harbor, Maine",3
Fundación Paraguaya,"Melbourne, Australia",2
Fundación Paraguaya,"Bangkok, Thailand",1
Fundación Paraguaya,"Sante Fe, New Mexico",1
Fundación Paraguaya,"Windhoek, Namibia",1
Fundación Paraguaya,Worcester Community Project Center,1
"Fundacion Costa Rica para el Desarrollo Sostenible, San Jose, Costa Rica",Russia,1
Fundacion Paraguay,"London, England",11
Fundacion Paraguay,"Copenhagen, Denmark",1
Fundacion Paraguay,Russia,1
Fundacion Paraguaya,"San Jose, Costa Rica",4
Fundacion Paraguaya,"Venice, Italy",3
Fundacion Paraguaya,Worcester Community Project Center,3
Fundacion Paraguaya,"Bangkok, Thailand",2
Fundacion Paraguaya,"Hong Kong, China",2
Fundacion Paraguaya,"London, England",2
Fundacion Paraguaya,Namibia,2
Fundacion Paraguaya,New Zealand,2
Fundacion Paraguaya,"Sante Fe, New Mexico",2
Fundacion Paraguaya,"Worcester, MA",2
Fundacion Paraguaya,"Cape Town, South Africa",1
Fundacion Paraguaya,India,1
Fundacion Puertorriquena Sindrome Down,"Cape Town, South Africa",3
Fundesteam,Costa Rica,1
Gametools,"Copenhagen, Denmark",1
GE Power Systems,"Bar Harbor, Maine",1
General Electric,Namibia,1
General Electric Company,"San Jose, Costa Rica",4
George C. Gordon library,Puerto Rico,3
Germano Iannacchione,"Melbourne, Australia",1
Gerstenfeld,"Wuhan, China",6
Gerstenfeld,"Cape Town, South Africa",5
GIZ,Albania,1
GIZ,"Venice, Italy",1
GIZ-CYMA,Costa Rica,1
Glacier National Park,"Venice, Italy",1
Glacier National Park,Worcester Community Project Center,1
Global Lab,"Hong Kong, China",1
"Glymetrix, Inc.",Worcester Community Project Center,1
GNS Science,New Zealand,3
GO2,Albania,2
Gobabeb Research & Training Centre,Namibia,1
Gobabeb Research & Training Centre,"San Juan, Puerto Rico",1
Gobabeb Research and Training Centre,Namibia,1
Gobierno Parroquial de Shaglli,"Windhoek, Namibia",1
Goddard House,"San Jose, Costa Rica",2
"Goetschel & Raess, Zurich, Switzerland","Venice, Italy",3
Golden International English,"Hangzhou, China",1
Gordon Library,"Venice, Italy",2
Gordon Library,"Hong Kong, China",1
Gordon Library,"Melbourne, Australia",1
Governance and Interface Directorate,"Cape Town, South Africa",1
Government of Japan,"Hong Kong, China",1
Grafton Department of Public Works,"Melbourne, Australia",1
"Grafton, Massachusetts","London, England",1
Greater Wellington Regional Council,New Zealand,8
Greater Wellington Regional Council,"London, England",1
Greater Wellington Regional Council,"Venice, Italy",1
Greater Wellington Regional Council,"Worcester, MA",1
Greater Worcester Land Trust,"Sante Fe, New Mexico",3
Greater Worcester Land Trust,"Worcester, MA",3
Greater Worcester Land Trust- Colin Novick,"Worcester, MA",3
Green Decade Newton,"Boston, Massachusetts",2
Green Guide Christianshavn,"Washington, DC",4
"Green Mountain Prevention Projects, Inc","Venice, Italy",1
Green Tech Challenge,"Copenhagen, Denmark",7
Green2Growth,Worcester Community Project Center,2
GreenBeach,"Nantucket, Massachusetts",3
GreenRoots,"Boston, Massachusetts",3
"GreenRoots, Inc.","Boston, Massachusetts",2
Greentech Investments,"Hangzhou, China",2
Gregg Tivnan & Mike Burns,"Nantucket, Massachusetts",1
"Greifensee Fire Brigade, Switzerland","Hong Kong, China",2
Groundwork Lawrence,"Sante Fe, New Mexico",1
Groundwork Lawrence,"Venice, Italy",1
Groundwork Thames Valley,"Cape Town, South Africa",2
Growing Pathways,"Venice, Italy",2
Growing Pathways,"London, England",1
Habitat for Humanity,Worcester Community Project Center,5
Habitat for Humanity,"Venice, Italy",3
Habitat For Humanity,Worcester Community Project Center,1
Habitat for Humanity,"Melbourne, Australia",1
Habitat for Humanity MertroWest/Greater Worcester,Worcester Community Project Center,2
Habitat for Humanity Metro West/Greater Worcester,Worcester Community Project Center,5
Habitat for Humanity MetroWest/ Greater Worcester,Worcester Community Project Center,1
Habitat for Humanity MetroWest/Greater Worcester,Worcester Community Project Center,3
Habitat for Humanity MetroWest/Greater Worcester,"Washington, DC",1
"Habitat for Humanity, Costa Rica",Morocco,10
Habitat Research and Development Center,"Windhoek, Namibia",1
Habitat Research and Development Centre,"Windhoek, Namibia",1
Hangzhou Bster Sci&Tech; Co. Ltd.,"Hangzhou, China",2
Hangzhou DAC Biotech,"Cape Town, South Africa",1
Hangzhou DAC Biotech,"Hangzhou, China",1
Hangzhou Dianzi University,Costa Rica,1
Hangzhou Dianzi University School of Management,"Hangzhou, China",1
Hangzhou Dianzi University School of Management,"San Juan, Puerto Rico",1
"Hangzhou Omnipay Co., Ltd.","London, England",1
Harbour Business Forum/Designing Hong Kong Limited,"Hong Kong, China",1
Harry Fultz Institute,Albania,3
"Harry Fultz Technical High School, Tirana",Albania,1
Healthworks Business Coalition,Namibia,5
Hearts of Gold,Namibia,1
HEG Fribourg School of Engineering,"Zurich, Switzerland",1
HEG School of Business,"Zurich, Switzerland",2
Heifer Project International,"Zurich, Switzerland",4
Heifer Project International,Microsoft Corporation,1
Heifer Project International,Morocco,1
Heifer Project International,"Venice, Italy",1
"Heliotronics, Inc.",Morocco,1
Hematology-Laboratory,"London, England",1
"Henry Lee Willis Community Center, Inc.","Washington, DC",3
Higgins Armory,"San Jose, Costa Rica",3
Higgins Armory,"San Juan, Puerto Rico",2
Higgins Armory,"Venice, Italy",2
Higgins Armory Museum,Namibia,20
Higgins Armory Museum,"San Jose, Costa Rica",11
Higgins Armory Museum,"Sante Fe, New Mexico",10
Higgins Armory Museum,"Hong Kong, China",9
Higgins Armory Museum,"London, England",8
Higgins Armory Museum,"Windhoek, Namibia",8
Higgins Armory Museum,"Zurich, Switzerland",8
Higgins Armory Museum,"Venice, Italy",5
Higgins Armory Museum,Worcester Community Project Center,5
Higgins Armory Museum,Morocco,3
Higgins Armory Museum,"Boston, Massachusetts",2
Higgins Armory Museum,India,2
Higgins Armory Museum,New Zealand,2
Higgins Armory Museum,"Cape Town, South Africa",1
Higgins Armory Museum,Costa Rica,1
Higgins Armory Museum,"Washington, DC",1
"Higgins Armory Museum, Worcester, MA","Cape Town, South Africa",2
"Higgins Armory Museum, Worcester, MA","Sante Fe, New Mexico",2
"Higgins Armory Museum, Worcester, MA.","Hong Kong, China",2
Higher Ground Farm,"Cape Town, South Africa",1
Higher Ground Farm,"Melbourne, Australia",1
Higher Ground Farm,"San Jose, Costa Rica",1
Historic Royal Palaces,"London, England",3
Historic Royal Palaces (HRP),"London, England",2
HKUST Language Center,"Hong Kong, China",2
HM Tower of London,"London, England",4
Holy Name Central Catholic High School,"Bangkok, Thailand",5
Holy Name Central Catholic High School,"Hong Kong, China",2
Holy Name High School,"Boston, Massachusetts",1
Holy Name Jr./Sr. High School,"Boston, Massachusetts",3
Hong Kong - Civic Exchange,"Hong Kong, China",1
Hong Kong Business Environment Council,"Hong Kong, China",2
Hong Kong Council of Social Service,"Hong Kong, China",3
Hong Kong Green Building Council,"Hong Kong, China",1
Hong Kong Institute of Education,"Hong Kong, China",7
Hong Kong Maritime Museum,"Hong Kong, China",4
Hong Kong Polytechnic University,"Hong Kong, China",1
Hong Kong Shark Foundation,"Hong Kong, China",1
Hong Kong Standards and Testing Centre,Costa Rica,2
Hong Kong Standards and Testing Centre,"Hong Kong, China",2
Hong Kong University of Science and Technology,"Hong Kong, China",8
"Hong Kong UST, Language Centre","Hong Kong, China",2
Honour Our Pueblo Existence (HOPE),"Sante Fe, New Mexico",1
Hossein Hakim,"Venice, Italy",1
Hounslow Contingency Planning Unit,"London, England",5
Housing Nantucket,"Nantucket, Massachusetts",6
Housing Nantucket,"Panama City, Panama",1
Hudson McComb,"Cape Town, South Africa",2
"HUNG, Wing-tat","Hong Kong, China",4
IAIA,"Sante Fe, New Mexico",3
IBSRAM,"San Juan, Puerto Rico",3
IDAAN/Footprint Possibilities,"Panama City, Panama",1
"IDeA Foundation, Orran","Venice, Italy",1
IES London Residence Hall,"London, England",1
IIT,India,1
IIT - Mandi,India,1
IIT Mandi,India,9
IIT-Mandi,India,34
IIT-Mandi,"Venice, Italy",3
IIT-Mandi,"Windhoek, Namibia",2
IIT-Mandi,Namibia,1
IIT-Mandi,New Zealand,1
ILI,"Sante Fe, New Mexico",1
ILWA,"Hong Kong, China",2
ILWA,"Cape Town, South Africa",1
Imperial War Museum (IWM London),"London, England",2
INCOPESCA,"San Jose, Costa Rica",9
"INCOPESCA, San Jose, Costa Rica","Zurich, Switzerland",4
Indian Institute of Technology Mandi,India,1
Indian Lake Watershed Association,"Bangkok, Thailand",2
Indian Lake Watershed Association,"Cape Town, South Africa",1
Indigenous Design + Planning Institute (UNM),"Sante Fe, New Mexico",1
Indigenous Language Institute,"Sante Fe, New Mexico",1
"Industrial Estate Authority of Thailand, Bangkok, Thailand","Zurich, Switzerland",3
"Industrial Estate Authority of Thailand, Bangkok, Thailand","San Jose, Costa Rica",2
"Ingeniørhøjskolen i København (IHK), the Engineering College of Copenhagen, Denmark","Windhoek, Namibia",9
IngeniÃ¸rhÃ¸jskolen i KÃ¸benhavn,"Copenhagen, Denmark",1
INS,"London, England",1
INS,"San Jose, Costa Rica",1
Institute for American Indian Arts,India,1
Institute for American Indian Arts,"Sante Fe, New Mexico",1
Institute for Sustainable Urbanisation,Worcester Community Project Center,1
Institute of Sustainable Urbanisation,"Worcester, MA",3
Institute of Sustainable Urbanisation,"Hong Kong, China",2
"Institution of Electrical Engineers, London, England","Zurich, Switzerland",3
Instituto Costarricense de Electricidad (ICE),"San Jose, Costa Rica",5
"Instituto Costarricense de Electricidad, CAIC Alajuela","London, England",1
"Instituto Costarricense de Electricidad, Telecommunications, Information Service 113","Cape Town, South Africa",1
Instituto Costarricense de Pesca Y Acuicultura,"Hong Kong, China",2
Instituto Costarricense de Pesca y Acuicultura,"San Jose, Costa Rica",2
Instituto Costarricense de Pesca y Acuicultura,Costa Rica,1
Instituto Costarricense de Pesca y Acuicultura,"Venice, Italy",1
Instituto Costarricense de Pesca y Acuicultura (INCOPESCA),"Boston, Massachusetts",1
Instituto Meteorológico Nacional,"San Jose, Costa Rica",2
Instituto National de Biodiversidad,"San Jose, Costa Rica",4
Insula S.p.A,"Melbourne, Australia",1
Insula SpA,"Venice, Italy",1
Intel,Costa Rica,6
Intel,"Worcester, MA",2
Intel,"San Jose, Costa Rica",1
Intel Costa Rica,"San Jose, Costa Rica",3
Inter-American Convention for the Protection and C,"San Jose, Costa Rica",1
"International Board for Soil Research and Management, Thailand","San Jose, Costa Rica",2
"International Financial Laboratory, Financial Univ",Russia,1
International Game Developer's Association,"Venice, Italy",1
International Institute for Tropical Forestry,Puerto Rico,1
"International Support Group, Bangkok, Thailand","San Jose, Costa Rica",5
IRESEN,"London, England",1
Island Living in a Global Age,"London, England",5
ISMAR,"Venice, Italy",1
ISO New England,"Windhoek, Namibia",1
It's The People's Data,"Sante Fe, New Mexico",2
Ivy Child International,"Melbourne, Australia",3
Jacqueline Stockton,"Hong Kong, China",1
James Dempsey,"Cape Town, South Africa",1
James Parker,"London, England",3
"Janssen Ortho LLC, Johnson and Johnson, Puerto Rico","Melbourne, Australia",3
"Jason Schrieber, Nelson/Nygaard; City of Boston","Boston, Massachusetts",1
Jeanette Frem,"San Jose, Costa Rica",1
Jemez Pueblo,"Sante Fe, New Mexico",1
Jennifer deWinter,"Hong Kong, China",1
Jets Technics,"Hong Kong, China",2
Jewish Community Center of Worcester,"San Jose, Costa Rica",3
Jim Creed,"Copenhagen, Denmark",1
John A. Goulet,"Worcester, MA",3
John F Kennedy Elementary School Jamaica Plain,"Worcester, MA",2
John F. Delorey,"London, England",1
John F. Zeugner,Worcester Community Project Center,2
John Heilbrunn,"Copenhagen, Denmark",1
John Tycz,"Venice, Italy",3
Johnson Space Center,"Melbourne, Australia",2
Jonathan Barnett-AECOM,"Melbourne, Australia",1
JosÃ© Alicea-Pou,"San Juan, Puerto Rico",1
Jose Gomez Marquez,Worcester Community Project Center,1
Jose Gomez-Marquez,"London, England",1
Joy of Music Program,"Copenhagen, Denmark",1
Julie Jacobson and Adam Burney,"Venice, Italy",2
Julie Jacobson and Adam Burney,Worcester Community Project Center,2
"Julie Jacobson Auburn Town Manager, Adam Burney Au",Worcester Community Project Center,3
Julie Wormser,"Boston, Massachusetts",2
Juliette Fritsch,"London, England",1
Junta de Calidad Ambiental,Puerto Rico,4
Junta de Calidad Ambiental,"San Juan, Puerto Rico",1
Katia Matamoros,"San Jose, Costa Rica",2
Kent J. Rissmiler,"Venice, Italy",1
Kent J. Rissmiler,"Washington, DC",1
Khulisa Social Solutions,"Cape Town, South Africa",4
Khulisa Social Solutions,"Venice, Italy",1
Khunying Finola Chatamra,"Bangkok, Thailand",2
Kiddies College Preschool,"Cape Town, South Africa",2
Kinder-Akademie Fulda,"Venice, Italy",4
Kipos3,"London, England",1
Klinkman Solar,New Zealand,1
Konrad Sauter,Costa Rica,3
Konrad Sauter,"San Jose, Costa Rica",3
"Konrad Sauter, CEO of Berlitz Language Center",Costa Rica,1
Konstantinos Rotsios,"Hong Kong, China",1
La Fondation Rita Zniber,Morocco,2
La Fundacion MarViva,Costa Rica,1
La Junta de Calidad Ambiental,Puerto Rico,3
La Junta de Planificación,"San Juan, Puerto Rico",2
Lambeth Council,"Sante Fe, New Mexico",1
Lancaster Friends of the Nashua River,"Venice, Italy",3
Lancaster Friends of the Nashua River,Worcester Community Project Center,1
Lance McKee,"Worcester, MA",1
Landcare Research,New Zealand,1
Lankester Botanical Garden,India,1
"Lankester Botanical Garden, San Jose, Costa Rica","Cape Town, South Africa",3
Last Call Foundation,"Copenhagen, Denmark",2
League of Women Voters Newton,"Venice, Italy",3
League of Women Voters Newton,"Boston, Massachusetts",2
Legal Assistance Corporation of Central Massachusetts,"London, England",3
Legal Assistance Corporation of Central Massachusetts,"Hong Kong, China",2
Legends Sports Leagues,"Venice, Italy",1
Legends Sports Leagues,"Washington, DC",1
"Leicester High School, Leicester, MA","London, England",5
Lerdsin Hospital,"Bangkok, Thailand",2
Lewisham Council,"London, England",1
Lewisham Council,"San Juan, Puerto Rico",1
Lewisham Strategic Partnership,"Nantucket, Massachusetts",3
Linda Rhodes,"Nantucket, Massachusetts",1
Lingnan University,"Hong Kong, China",6
Lingnan University,"Venice, Italy",3
Liz Shehan Castro,New Zealand,1
Liz Tomaszewski,"San Jose, Costa Rica",1
Logistics Service Corporation of HDU,"Hangzhou, China",2
London Borough of Brent,"London, England",9
London Borough of Brent,"Venice, Italy",1
London Borough of Brent Planning Service,"London, England",4
"London Borough of Brent, Ken Hullock","London, England",1
London Borough of Camden,"London, England",3
London Borough of Croydon,"London, England",17
London Borough of Greenwich,"London, England",1
London Borough of Hounslow,"London, England",10
London Borough of Hounslow,"Melbourne, Australia",3
"London Borough of Hounslow, Contingency Planning U","London, England",1
London Borough of Lambeth,"London, England",3
London Borough of Lewisham,"London, England",1
London Borough of Merton,"London, England",10
London Borough of Merton,"Hong Kong, China",9
London Borough of Merton,Albania,5
London Borough of Merton,"Worcester, MA",5
London Borough of Merton,Puerto Rico,4
London Borough of Merton,Namibia,1
"London Borough of Merton - Environmental Services, London, England","Venice, Italy",1
"London Borough of Merton, London, England","Cape Town, South Africa",2
"London Borough of Merton, London, England","Copenhagen, Denmark",1
"London Borough of Merton, Plans and Projects Division",Worcester Community Project Center,2
London Borough of Sutton,"London, England",1
London Boroush of Merton,"Melbourne, Australia",2
London Museum of Science,"London, England",2
London Project Center,"London, England",1
London Science Museum,"London, England",9
London Science Museum,New Zealand,4
London Science Museum,Albania,3
London Science Museum,"Washington, DC",1
London Transport Museum,"London, England",14
London Transport Museum,"Melbourne, Australia",2
London Underground,"London, England",1
Lorik Cana 5 Foundation,"Melbourne, Australia",1
Lucerne University of Applied Sciences and Arts,"Zurich, Switzerland",3
Lumkani,"Cape Town, South Africa",1
MA Department of Conservation and Recreation,"Boston, Massachusetts",1
MA Department of Environmental Protection,"Boston, Massachusetts",1
"MA Department of Environmental Protection, Bureau",New Zealand,1
"MA Department of Environmental Protection, Bureau","Venice, Italy",1
MA Dept. of Environmental Protection,"Boston, Massachusetts",1
MA Office of Energy and Environmental Affairs,"Boston, Massachusetts",2
Mahasarakham University SIFE,"Bangkok, Thailand",1
Mail.Ru,"Venice, Italy",1
Main South Community Development Corporation,"Worcester, MA",4
Main South Community Development Corporation,"Beijing, China",1
Maitland Garden Village Community Forum,"Cape Town, South Africa",7
Maitland Garden Village Green Light Project,"Melbourne, Australia",1
Major Development Agency of Thessaloniki,New Zealand,1
Maple Farm Animal Sanctuary,Worcester Community Project Center,1
"María Amor Foundation, Mujeres con Éxito",New Zealand,4
Margaret Morrissey and Gabriel McCarthy,"Worcester, MA",6
Maria Amor Foundation,"Melbourne, Australia",1
Maria Guzman,"San Jose, Costa Rica",2
Maria Mitchell Association,"Nantucket, Massachusetts",5
Maria Mitchell Association,"Washington, DC",3
Maria Mitchell Association (MMA),"Nantucket, Massachusetts",1
Marianna's Vineleaves,"Melbourne, Australia",2
Mark Ericson,"Sante Fe, New Mexico",1
Mark Johnson,New Zealand,3
